"Envuelto en queso crema, desde:",es
57 Take Cheese Roll,en
27.Avocado Vegetariano,pt
Tsurai Roll,ht
A la Crème,fr
Sibaritas fusión,gl
Tabla Oriental ,es
Ronda criolla a lo piurano.,es
A la creme,fr
Aros de cebolla,es
39 Take Roll,en
Tempura Roll,en
Torimeshi,sq
Empanada de Ave,gl
Temaki Maki,pt
Chicken Box 3,en
Vodka Sour ,en
Tempura Roll,en
Mediana,es
Chirashi Premium,en
Empanadas de Queso ,es
Maximilian Roll,en
Mushroom Cheese,en
Milanesa de filete,es
Sashimi Atún,es
California Tempura,en
Ebi Cheese Roll,en
Canada Dry,en
Pollo Tsurai,es
Superior,es
Ameaby Roll,en
Superior,es
Trío mongoliano,es
Tako Roll,sl
Hosomaki Ebi,en
44.- Tori Tempura,en
Costillar cantonés,gl
Tempura Spicy,en
Temaki Tako Spicy,pt
Ca-tu Roll,ro
Minicalzone Jamón,es
Delicada,es
Gyosas Camarón ,es
Filete Oriental,es
California kioto limón,es
80 Teriyaki de Pollo,es
60. Yakitori,vi
Durazno,es
Pabla Maki,bs
Tuna Maki,en
Octopus Olive      ,en
Onion BBQ,en
Envueltos en almendras tostadas:,es
California Unagui.,en
A la Crème,fr
Bebida 1.5 lts.,pt
Tempura Mixto,es
Salsa Bolognesa,es
Cerveza Austral,es
Ración de Olivas,es
Especial de la Casa,es
Nigiri Marisco,jw
Ebi Cheese Roll,en
4 Quesos,es
Mix Niu Furai,en
65 Light Roll,en
Queso y aceitunas verdes,es
Gyozas de Camarón,es
Quesadillas de Ostiones,es
Torta Imperial de Chocolate,en
Sashimi Salmón,es
98. Gyosas de Camarón,es
Cheescake Salsa Frutilla,es
"Kanikama, ají verde y palta",es
Sakanatataky Especial,es
Ceviche Misky Mikuy,es
Sashimi Tako,sl
4 X 1 Pizza XL,en
Ebi Gyozas,en
47 Pato Roll,en
Mini roller BBQ Tocino,es
Negra Modelo,es
Nigiri Unagi,jw
Carne Vapor,es
California Tako Spicy,en
California Ebi Cheese Tempura,en
Sashimi Mixto,es
Barros luco grande,pt
Italiano,it
Temaki Spicy,pt
Bambino,it
Bolitas de Kubbe x6,es
 Chicken Box Snack,en
Mariscos,es
Olivo,es
Mechada Luco,es
Beto Maki,pt
Nico Roll,en
Sake Roll,en
Sprite,en
Ebi Roll,en
Empanadas de pino ,es
Promoción válida sólo Domingo: 3 pizzas medianas hasta 3 ingredientes ,es
Kochi Rolls,en
Taki Roll,en
Salsa Unagui,es
temaki maguro,pt
Sándwich Ave Palta,es
1 pizza mediana de 3 ingredientes,es
California Palmito                                                                           ,pt
Delicada,es
Vegetarian Thai ,en
Ebi Roll,en
Ebi Chiizu,en
072 Oriental roll,en
Ebi Maguro,en
Akita Roll,en
Pequepizza,es
85.- Ceviche Mix,es
Mediterránea,es
Temaki Tempura,pt
Mashido rolls,en
Hi cheese rolls,en
Empanadas de pino ,es
Cerveza sin Alcohol,es
Arroz,es
Tori Roll,en
Tekushima ,sq
Cornetto Cup,it
Tokio 73 Piezas,es
Especial de la Casa,es
Salsa  picante,es
Tempura Roll,en
1/4 Pollo,es
Fiesta Roll,es
Crispy Roll,en
Ebi Furai,en
96 Pollo Ebi Furay,so
Congrio tausi,sw
Ebi Cheese,en
Queso Crema,es
Scorpion,en
Teriyaki,en
Ebi Spicy Roll,en
Tempura Light,en
78. Spicy cheese roll,en
Salsa Teriyaki,en
Ebi rolls,en
Akita Roll,en
Familiar,en
Champi Rolls,jw
1 Pizza XL de 3 ingredientes + Bebida 1.5 lts.,es
Ceviche,es
"Cerdo, desde:",es
Chicken Box Familiar,en
Tori Roll,en
